"","StartDate","FMT","TUT","SIT","Hour","ID"
"1","09/15/2016",2,3,7,9,1
"2","09/15/2016",2,2,3,11,1
"3","09/15/2016",4,NA,NA,13,1
"4","09/15/2016",5,2,4,13,1
"5","09/15/2016",4,2,3,15,1
"6","09/15/2016",1,1,4,16,1
"7","09/16/2016",3,3,5,20,1
"8","09/16/2016",3,5,3,22,1
"9","09/16/2016",4,4,5,11,1
"10","09/16/2016",1,1,6,13,1
"11","09/16/2016",2,1,7,14,1
"12","09/16/2016",2,2,5,16,1
"13","09/17/2016",2,3,4,17,1
"14","09/17/2016",3,1,4,19,1
"15","09/17/2016",4,2,5,20,1
"16","09/17/2016",3,5,3,22,1
"17","09/17/2016",3,1,6,10,1
"18","09/17/2016",3,3,5,12,1
"19","09/17/2016",2,2,5,13,1
"20","09/17/2016",3,3,5,16,1
"21","09/18/2016",3,2,6,17,1
"22","09/18/2016",4,1,7,19,1
"23","09/18/2016",3,2,3,21,1
"24","09/18/2016",4,2,3,21,1
"25","09/18/2016",3,NA,NA,10,1
"26","09/18/2016",3,3,4,10,1
"27","09/18/2016",2,3,5,15,1
"28","09/18/2016",3,2,5,15,1
"29","09/19/2016",4,1,6,17,1
"30","09/19/2016",2,1,6,19,1
"31","09/19/2016",3,1,6,20,1
"32","09/19/2016",3,4,2,22,1
"33","09/19/2016",3,2,5,9,1
"34","09/19/2016",3,3,5,12,1
"35","09/19/2016",2,2,5,13,1
"36","09/19/2016",3,2,4,14,1
"37","09/20/2016",4,3,5,18,1
"38","09/20/2016",2,3,5,18,1
"39","09/20/2016",3,3,5,21,1
"40","09/20/2016",3,4,5,22,1
"41","09/20/2016",3,2,5,8,1
"42","09/20/2016",3,2,5,10,1
"43","09/20/2016",4,4,4,12,1
"44","09/20/2016",3,1,7,15,1
"45","09/20/2016",2,2,6,16,1
"46","09/21/2016",3,1,7,19,1
"47","09/21/2016",3,2,6,20,1
"48","09/21/2016",3,5,3,21,1
"49","09/21/2016",2,1,7,9,1
"50","09/21/2016",3,3,5,11,1
"51","09/21/2016",2,NA,NA,16,1
"52","09/21/2016",2,3,6,16,1
"53","09/22/2016",3,3,4,18,1
"54","09/22/2016",3,4,3,19,1
"55","09/22/2016",3,2,5,21,1
"56","09/22/2016",3,5,4,22,1
"57","09/22/2016",3,3,5,9,1
"58","09/22/2016",3,2,6,12,1
"59","09/22/2016",3,3,5,14,1
"60","09/22/2016",2,2,5,15,1
"61","09/23/2016",3,2,5,17,1
"62","09/23/2016",3,3,6,19,1
"63","09/23/2016",2,3,6,21,1
"64","09/23/2016",3,2,5,22,1
"65","09/23/2016",2,3,5,12,1
"66","09/23/2016",3,2,6,16,1
"67","09/24/2016",3,3,6,17,1
"68","09/24/2016",3,4,4,20,1
"69","09/24/2016",3,3,4,20,1
"70","09/24/2016",2,4,5,22,1
"71","09/24/2016",3,3,5,8,1
"72","09/24/2016",4,3,3,9,1
"73","09/24/2016",3,2,4,12,1
"74","09/24/2016",3,2,6,15,1
"75","09/24/2016",2,2,6,16,1
"76","09/25/2016",3,2,6,17,1
"77","09/25/2016",3,2,6,19,1
"78","09/25/2016",3,2,6,21,1
"79","09/15/2016",7,6,2,9,2
"80","09/15/2016",2,2,4,13,2
"81","09/15/2016",7,3,5,14,2
"82","09/16/2016",3,7,4,19,2
"83","09/16/2016",3,6,4,22,2
"84","09/16/2016",2,5,6,9,2
"85","09/16/2016",4,5,6,9,2
"86","09/16/2016",2,7,6,11,2
"87","09/17/2016",1,5,6,19,2
"88","09/17/2016",5,3,2,21,2
"89","09/17/2016",2,6,4,16,2
"90","09/18/2016",2,2,2,17,2
"91","09/18/2016",2,7,7,18,2
"92","09/18/2016",1,1,1,21,2
"93","09/18/2016",1,7,6,12,2
"94","09/19/2016",3,2,5,19,2
"95","09/19/2016",4,7,2,21,2
"96","09/19/2016",5,6,4,22,2
"97","09/19/2016",3,3,4,11,2
"98","09/19/2016",3,7,4,13,2
"99","09/20/2016",1,7,4,21,2
"100","09/20/2016",5,6,4,21,2
"101","09/20/2016",6,6,6,8,2
"102","09/20/2016",6,4,5,10,2
"103","09/20/2016",1,NA,NA,12,2
"104","09/20/2016",1,2,6,12,2
"105","09/20/2016",2,2,4,13,2
"106","09/20/2016",2,1,4,14,2
"107","09/20/2016",1,5,5,16,2
"108","09/21/2016",1,3,5,17,2
"109","09/21/2016",6,7,5,19,2
"110","09/21/2016",1,2,4,21,2
"111","09/21/2016",1,3,3,22,2
"112","09/21/2016",3,3,3,9,2
"113","09/21/2016",3,7,5,10,2
"114","09/21/2016",4,5,5,12,2
"115","09/21/2016",2,3,6,12,2
"116","09/21/2016",2,3,4,14,2
"117","09/21/2016",4,6,5,16,2
"118","09/22/2016",6,3,4,18,2
"119","09/22/2016",3,3,4,19,2
"120","09/22/2016",3,3,5,21,2
"121","09/22/2016",2,1,4,22,2
"122","09/22/2016",3,6,5,8,2
